Name,Tags,Приоритет
"Кормитель: невозможность покормиться дважды в течении трёх часов
",,Сделано
"возможность кормить ребёнков на обеих кухнях - нужно, всё остальное про них (флаг деть, доп. инфа) - хотелка, решается путём комментария и в имени",,Сделано
Кнопка “кормление анонима”,,Сделано
В окне стаистики стрелки - можно смотреть эту же инфу на предыдущие и следующие дни,,Сделано
в статистике кормителя прогноз на следующий день,,Сделано
скорректировать волонтерам число кормежек на 4,,Сделано
В админке флаг кормления,,Сделано
сканирование бейджей в админке для активации,,Сделано
загрузка в кормитель истории питаний за 2 дня для статистики,,Сделано
Радиокнопка выбора приема пищи,,Сделано
На стартовом экране дата и время последней синхронизации,,Сделано
По свайпу переход на окно истории кормлений,,Сделано
По свайпу переход на окно статистики,,Сделано
"В окне статистики отражаются числа: людей на поле, из них мясоедов, из них веганов.",,Сделано
Автономность работы приложения,,Сделано
Кнопка принудительной синхронизации на стартовом окне,,Сделано
Переход на окно волонтера при успешном сканировании,,Сделано
В окне волонтера кнопки “Кормить” и “Отмена”,,Сделано
"В админке есть данные волонтера: фамилия, имя, позывной; даты пребывания, роль (цвет бейджа), локация (служба), платный/бесплатный, всеядный/веган, количество кормёжек в день, номер кухни, флаг активации, флаг кормления, поле для комментария",,Сделано
Админка: блокировка данных волонтёра для синхрона с ноушен после активации бейджа,,Сделано
Админка: поле для комментария,,Сделано
Проблемы/идеи кормителя,кормитель,Неактуально
ФИКС: для руководителя локации ограничить групповые бейджи и их наполнение,Мобилка,Неактуально
"Фикс: кнопка “сохранить” не срабатывает ",Админка,Неактуально
ФИКС: заведение типа службы в разделе “направления” не сохраняется,Админка,Неактуально
Возможность выгружать таблицу эксель целиком и с сохранением выбранных сортировок и фильтраций,Админка,Неактуально
дополнительный пользователь в админке без права правки бана и изменения типа питания,,Неактуально
"Автоматически снимать галочку с “активации” у забаненного, чтоб не попадал в статистику",,Неактуально
Внизу в окне сканирования лента из данных последних трёх покормленных,,Неактуально
"починить кнопку “молния” так, чтобы повторный клик выключал фонарик",,Неактуально
Добавление поля “Телеграм” волонтёру,,Неактуально
Баг Кати по статистике,,Неактуально
,,
,,
